Video,Total Views,Artist,Title,Total Views_normalized
Natti Natasha ❌ Ozuna - Criminal [Official Video],2691052712,Natti Natasha ❌ Ozuna,Criminal [Official Video],0.28014781078786327
"DJ Snake - Taki Taki ft. Selena Gomez, Ozuna, Cardi B (Official Music Video)",2662746828,DJ Snake,"Taki Taki ft. Selena Gomez, Ozuna, Cardi B (Official Music Video)",0.27673957960616474
Meghan Trainor - All About That Bass (Official Video),2658868619,Meghan Trainor,All About That Bass (Official Video),0.2762726154639057
Adele - Rolling in the Deep (Official Music Video),2638852210,Adele,Rolling in the Deep (Official Music Video),0.2738624964476817
"Post Malone, Swae Lee - Sunflower (Spider-Man: Into the Spider-Verse) (Official Video)",2611290682,"Post Malone, Swae Lee",Sunflower (Spider-Man: Into the Spider-Verse) (Official Video),0.2705438910600224
Christina Perri - A Thousand Years [Official Music Video],2600001777,Christina Perri,A Thousand Years [Official Music Video],0.2691846260383671
Marshmello - Alone (Official Music Video),2592738420,Marshmello,Alone (Official Music Video),0.26831006582992395
The Weeknd - Starboy ft. Daft Punk (Official Video),2560276666,The Weeknd,Starboy ft. Daft Punk (Official Video),0.26440143813274875
MAGIC! - Rude (Official Video),2549916100,MAGIC!,Rude (Official Video),0.2631539517761578
"Becky G, Bad Bunny - Mayores (Official Video)",2520144230,"Becky G, Bad Bunny",Mayores (Official Video),0.2595692053795614
Shawn Mendes - Treat You Better,2506054701,Shawn Mendes,Treat You Better,0.2578727251681239
Jennifer Lopez - On The Floor ft. Pitbull,2505640249,Jennifer Lopez,On The Floor ft. Pitbull,0.25782282217870595
"Casper, Nio García, Darell, Nicky Jam, Bad Bunny, Ozuna - Te Bote Remix (Video Oficial)",2499250761,"Casper, Nio García, Darell, Nicky Jam, Bad Bunny, Ozuna",Te Bote Remix (Video Oficial),0.25705348205717193
John Legend - All of Me (Official Video),2486940700,John Legend,All of Me (Official Video),0.25557126253882684
"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",2458250639,LMFAO,"Party Rock Anthem ft. Lauren Bennett, GoonRock",0.25211677369456276
Numb (Official Music Video) [4K UPGRADE] – Linkin Park,2450567985,Numb (Official Music Video) [4K UPGRADE] – Linkin Park,,0.2511917271239981
Avicii - Wake Me Up (Official Video),2426177008,Avicii,Wake Me Up (Official Video),0.24825487878661734
Gotye - Somebody That I Used To Know (feat. Kimbra) [Official Music Video],2423853256,Gotye,Somebody That I Used To Know (feat. Kimbra) [Official Music Video],0.24797508240135224
"Luis Fonsi, Demi Lovato - Échame La Culpa",2413576508,"Luis Fonsi, Demi Lovato",Échame La Culpa,0.24673768833232906
Rihanna - Diamonds,2401010227,Rihanna,Diamonds,0.24522461809074303
Bruno Mars - That’s What I Like [Official Music Video],2380670304,Bruno Mars,That’s What I Like [Official Music Video],0.24277554567166765
"Jhay Cortez, J. Balvin, Bad Bunny - No Me Conoce (Remix)",2373261724,"Jhay Cortez, J. Balvin, Bad Bunny",No Me Conoce (Remix),0.24188349957382776
The Chainsmokers & Coldplay - Something Just Like This (Lyric),2364140742,The Chainsmokers & Coldplay,Something Just Like This (Lyric),0.2407852680096727
Ellie Goulding - Love Me Like You Do (Official Video),2362749677,Ellie Goulding,Love Me Like You Do (Official Video),0.24061777381981558
Fifth Harmony - Worth It (Official Video) ft. Kid Ink,2337233238,Fifth Harmony,Worth It (Official Video) ft. Kid Ink,0.23754541179622685
50 Cent - In Da Club (Official Music Video),2303688739,50 Cent,In Da Club (Official Music Video),0.233506413845615
Ariana Grande ft. Nicki Minaj - Side To Side (Official Video) ft. Nicki Minaj,2296056597,Ariana Grande ft. Nicki Minaj,Side To Side (Official Video) ft. Nicki Minaj,0.23258744928165542
Adele - Someone Like You (Official Music Video),2287826210,Adele,Someone Like You (Official Music Video),0.23159645173461374
X (EQUIS) - Nicky Jam x J. Balvin | Video Oficial  (Prod. Afro Bros & Jeon),2282525317,X (EQUIS),Nicky Jam x J. Balvin | Video Oficial  (Prod. Afro Bros & Jeon),0.23095818624841846
BLACKPINK - ‘뚜두뚜두 (DDU-DU DDU-DU)’ M/V,2280749956,BLACKPINK,‘뚜두뚜두 (DDU-DU DDU-DU)’ M/V,0.23074442006754342
